MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.09353816     -0.15764847      0.05486968
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.4605   13.2464    2.7869
DIM:ROT:       1         1    0.0780   14.4136    0.9558
DIM:ROT:       2         1   -0.1427    6.3131    1.2384
DIM:ROT:       3         1   -0.2113    5.8782    0.9072
DIM:ROT:       4         1   -0.3101    2.5991    0.6481
DIM:ROT:       5         1   -0.3026    2.7722    0.7846
DIM:ROT:       6         1   -0.1693    4.1283    0.8474
DIM:ROT:       7         1   -0.1042    1.8011    0.5330
DIM:ROT:       8         1   -0.1867    2.7364    0.4756
DIM:ROT:       9         1   -0.2919    5.3583    0.2547
DIM:ROT:      10         1   -0.3207    3.8049    0.3448
DIM:ROT:      11         1   -0.5048    1.8931    0.7515
DIM:ROT:      12         1   -0.4978    2.7971    0.4110
DIM:ROT:      13         1   -0.5732    2.3422    0.3545
DIM:ROT:      14         1   -0.3793    2.0671    0.3098
DIM:ROT:      15         1   -0.3378    1.8077    0.6548
DIM:ROT:      16         1   -0.5408    2.4773    0.3271
DIM:ROT:      17         1   -0.5100    1.5361    0.3390
DIM:ROT:      18         1   -0.3676    1.3395    0.2110
DIM:ROT:      19         1   -0.3379    2.1940    0.8294
DIM:ROT:      20         1   -0.4268    1.6933    0.3043
DIM:ROT:      21         1   -0.2896    1.3526    0.4360
DIM:ROT:      22         1   -0.2208    2.1009    0.6299
DIM:ROT:      23         1   -0.2182    2.3715    0.6619
DIM:ROT:      24         1   -0.1669    2.5598    0.2827
DIM:ROT:      25         1   -0.2248    2.8261    1.0920
DIM:ROT:      26         1   -0.1568    2.3447    0.7931
DIM:ROT:      27         1   -0.1373    2.8173    0.2800
