MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0      0.10465770      0.06245871      0.05237325
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.7196   38.5498    6.9070
DIM:ROT:       1         1    0.3478   10.5618    0.7324
DIM:ROT:       2         1    0.1718    2.9706    0.5355
DIM:ROT:       3         1    0.2132    3.4376    0.3630
DIM:ROT:       4         1    0.2536    4.1756    0.5996
DIM:ROT:       5         1    0.2132   10.2981    0.6302
DIM:ROT:       6         1    0.1656    4.6646    0.9954
DIM:ROT:       7         1    0.0409   13.8118    0.5577
DIM:ROT:       8         1   -0.0473    4.7727    0.8712
DIM:ROT:       9         1   -0.1381    6.9362    0.6637
DIM:ROT:      10         1   -0.0904    3.4383    1.1826
DIM:ROT:      11         1    0.0948    3.1544    0.4199
DIM:ROT:      12         1    0.0502    1.6787    0.5619
DIM:ROT:      13         1    0.0169    1.4323    0.3129
DIM:ROT:      14         1   -0.0122    1.0356    0.2010
DIM:ROT:      15         1   -0.0229    0.9752    0.2220
DIM:ROT:      16         1    0.0839    3.0091    0.4171
DIM:ROT:      17         1    0.0409    0.9485    0.2683
DIM:ROT:      18         1    0.0140    0.4690    0.1470
DIM:ROT:      19         1   -0.0090    0.9588    0.1022
DIM:ROT:      20         1   -0.0243    0.9287    0.1380
DIM:ROT:      21         1    0.0188    0.6325    0.2086
DIM:ROT:      22         0   -0.0092 ---------    0.0958
DIM:ROT:      23         1   -0.0085    0.4624    0.1463
DIM:ROT:      24         1    0.0802    2.8732    0.3802
DIM:ROT:      25         1    0.0440    1.4268    0.4903
DIM:ROT:      26         1    0.0206    0.7501    0.1089
DIM:ROT:      27         0    0.0032 ---------    0.0850
DIM:ROT:      28         1   -0.0123    0.6806    0.1102
DIM:ROT:      29         1   -0.0170    0.5682    0.1363
DIM:ROT:      30         1    0.0400    1.4550    0.2138
DIM:ROT:      31         1    0.0194    0.8121    0.2566
DIM:ROT:      32         0    0.0040 ---------    0.0530
DIM:ROT:      33         1   -0.0094    0.5109    0.1099
DIM:ROT:      34         0   -0.0094 ---------    0.0678
DIM:ROT:      35         1    0.0489    1.8475    0.3043
DIM:ROT:      36         1    0.0291    1.0435    0.3183
DIM:ROT:      37         0    0.0163 ---------    0.0897
DIM:ROT:      38         0    0.0057 ---------    0.0946
DIM:ROT:      39         1   -0.0043    0.5254    0.1351
DIM:ROT:      40         0   -0.0051 ---------    0.0717
DIM:ROT:      41         1    0.0391    1.7202    0.2748
DIM:ROT:      42         1    0.0246    1.0180    0.2875
DIM:ROT:      43         0    0.0158 ---------    0.0947
DIM:ROT:      44         0    0.0083 ---------    0.0868
DIM:ROT:      45         1    0.0011    0.4358    0.1116
DIM:ROT:      46         0   -0.0048 ---------    0.0717
DIM:ROT:      47         0   -0.0048 ---------    0.0755
DIM:ROT:      48         1    0.0296    1.7672    0.2237
DIM:ROT:      49         1    0.0193    0.9485    0.2879
DIM:ROT:      50         1    0.0124    0.8788    0.1025
DIM:ROT:      51         1    0.0076    0.3947    0.1257
DIM:ROT:      52         0    0.0043 ---------    0.0581
DIM:ROT:      53         0    0.0016 ---------    0.0780
DIM:ROT:      54         1   -0.0015    0.3682    0.1054
DIM:ROT:      55         0   -0.0015 ---------    0.0479
DIM:ROT:      56         1    0.0186    1.2969    0.2046
DIM:ROT:      57         1    0.0129    0.8220    0.2067
DIM:ROT:      58         1    0.0089    0.8180    0.1027
DIM:ROT:      59         1    0.0062    0.4421    0.1247
DIM:ROT:      60         0    0.0048 ---------    0.0670
DIM:ROT:      61         0    0.0036 ---------    0.0781
DIM:ROT:      62         0    0.0026 ---------    0.0963
DIM:ROT:      63         1    0.0011    0.3566    0.1181
DIM:ROT:      64         0    0.0000 ---------    0.0434
DIM:ROT:      65         0   -0.0008 ---------    0.0591
DIM:ROT:      66         0   -0.0006 ---------    0.0743
DIM:ROT:      67         1    0.0105    0.9588    0.1615
DIM:ROT:      68         1    0.0075    0.6454    0.1550
DIM:ROT:      69         1    0.0055    0.5621    0.1117
DIM:ROT:      70         0    0.0047 ---------    0.0879
DIM:ROT:      71         0    0.0040 ---------    0.0765
DIM:ROT:      72         0    0.0034 ---------    0.0710
DIM:ROT:      73         0    0.0028 ---------    0.0727
DIM:ROT:      74         0    0.0024 ---------    0.0813
DIM:ROT:      75         0    0.0021 ---------    0.0949
DIM:ROT:      76         1    0.0011    0.4149    0.1116
DIM:ROT:      77         0    0.0006 ---------    0.0525
DIM:ROT:      78         0    0.0003 ---------    0.0575
DIM:ROT:      79         0   -0.0000 ---------    0.0704
DIM:ROT:      80         0    0.0003 ---------    0.0868
DIM:ROT:      81         1   -0.0006    0.4227    0.1064
DIM:ROT:      82         0   -0.0005 ---------    0.0566
DIM:ROT:      83         1    0.0049    0.6918    0.1101
DIM:ROT:      84         1    0.0035    0.4908    0.1098
DIM:ROT:      85         0    0.0031 ---------    0.0675
DIM:ROT:      86         0    0.0027 ---------    0.0672
DIM:ROT:      87         0    0.0024 ---------    0.0747
DIM:ROT:      88         0    0.0023 ---------    0.0882
DIM:ROT:      89         1    0.0016    0.3452    0.1053
DIM:ROT:      90         0    0.0013 ---------    0.0416
DIM:ROT:      91         0    0.0011 ---------    0.0486
DIM:ROT:      92         0    0.0010 ---------    0.0640
DIM:ROT:      93         0    0.0009 ---------    0.0833
DIM:ROT:      94         1    0.0004    0.3490    0.1043
DIM:ROT:      95         0    0.0002 ---------    0.0442
DIM:ROT:      96         0    0.0000 ---------    0.0526
DIM:ROT:      97         0    0.0000 ---------    0.0686
DIM:ROT:      98         0    0.0001 ---------    0.0883
DIM:ROT:      99         1   -0.0005    0.3917    0.1097
DIM:ROT:     100         0   -0.0005 ---------    0.0506
