MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0     -0.10263527     -0.15291698      0.09567448
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1   -0.2719   34.6518    1.8862
DIM:ROT:       1         1   -0.8486   27.9011    2.5015
DIM:ROT:       2         1   -0.1811    5.0506    1.0273
DIM:ROT:       3         1    0.6820   11.1117    1.7561
DIM:ROT:       4         1    0.0661    4.8777    0.8255
DIM:ROT:       5         1   -0.2942    2.9510    0.8531
DIM:ROT:       6         1   -0.4481    4.5992    0.5762
DIM:ROT:       7         1   -0.3864    4.6852    0.3645
DIM:ROT:       8         1   -0.1743    2.9237    0.7428
DIM:ROT:       9         1    0.0812    8.6907    0.9302
DIM:ROT:      10         1   -0.2397    3.5582    1.2791
DIM:ROT:      11         1   -0.2398    2.2125    0.5780
DIM:ROT:      12         1    0.2448    6.9218    0.3862
DIM:ROT:      13         1    0.0205    6.7921    0.8228
DIM:ROT:      14         1   -0.2399    5.8115    1.4372
DIM:ROT:      15         1   -0.4901   12.7193    1.1494
DIM:ROT:      16         1   -0.5727    3.1654    1.0780
DIM:ROT:      17         1   -0.6890    7.8320    0.4944
DIM:ROT:      18         1   -0.8278    2.9104    0.9739
DIM:ROT:      19         1   -0.7801    2.7822    0.7637
DIM:ROT:      20         1   -0.7700    2.8504    0.4789
DIM:ROT:      21         1   -0.8203    1.8796    0.5273
DIM:ROT:      22         1   -0.6189    2.2440    0.4436
DIM:ROT:      23         1   -0.5931    1.8418    0.4036
DIM:ROT:      24         1   -0.3915    2.5303    0.4502
DIM:ROT:      25         1   -0.2657    2.0948    0.4458
DIM:ROT:      26         1   -0.3579    1.1373    0.3117
DIM:ROT:      27         1   -0.4799    2.2356    0.7311
DIM:ROT:      28         1   -0.2781    2.3641    0.6073
DIM:ROT:      29         1   -0.1172    1.5355    0.2945
DIM:ROT:      30         1   -0.1870    2.0373    0.6673
DIM:ROT:      31         1   -0.1934    2.6487    0.7819
DIM:ROT:      32         1   -0.1344    1.9668    0.3116
