MINMODE:METHOD: Dimer
DIM:CONTROL: Search Parameters:
DIM:CONTROL: ------------------
DIM:CONTROL: eigenmode_method = dimer
DIM:CONTROL: f_rot_min = 0.1
DIM:CONTROL: f_rot_max = 1.0
DIM:CONTROL: max_num_rot = 1
DIM:CONTROL: trial_angle = 0.7853981633974483
DIM:CONTROL: trial_trans_step = 0.001
DIM:CONTROL: maximum_translation = 0.1
DIM:CONTROL: cg_translation = True
DIM:CONTROL: use_central_forces = True
DIM:CONTROL: dimer_separation = 0.01
DIM:CONTROL: initial_eigenmode_method = displacement
DIM:CONTROL: extrapolate_forces = False
DIM:CONTROL: displacement_method = gauss
DIM:CONTROL: gauss_std = 0.1
DIM:CONTROL: order = 1
DIM:CONTROL: mask = None
DIM:CONTROL: displacement_center = 0
DIM:CONTROL: displacement_radius = 0.5
DIM:CONTROL: number_of_displacement_atoms = None
DIM:CONTROL: ------------------
DIM:ROT: OPT-STEP ROT-STEP CURVATURE ROT-ANGLE ROT-FORCE
MINMODE:DISP: Parameters, different from the control:
MINMODE:DISP: mask = [True, False, False, False]
MINMODE:DISP:       0     -0.07558428     -0.04552957     -0.04343159
MINMODE:DISP:       1      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       2      0.00000000      0.00000000      0.00000000
MINMODE:DISP:       3      0.00000000      0.00000000      0.00000000
DIM:ROT:       0         1    0.5228   32.1160    2.3318
DIM:ROT:       1         1    1.3785   50.9133    1.0857
DIM:ROT:       2         1   -2.8451   35.7591    2.3701
DIM:ROT:       3         1   -3.2799   16.6125    2.4115
DIM:ROT:       4         1   -3.3191    9.5608    1.3197
DIM:ROT:       5         1   -2.2355   13.1641    1.7005
DIM:ROT:       6         1   -1.5052    8.4489    1.9743
DIM:ROT:       7         1   -1.3877    4.2100    1.4633
DIM:ROT:       8         1   -1.4796    1.7359    0.5090
DIM:ROT:       9         1   -1.2978    1.4661    0.2218
DIM:ROT:      10         1   -1.1331    0.8552    0.2684
DIM:ROT:      11         1   -0.8608    0.9919    0.3631
DIM:ROT:      12         1   -0.8395    1.2799    0.5002
DIM:ROT:      13         1   -0.7055    1.3448    0.5750
DIM:ROT:      14         0   -0.5268 ---------    0.0824
DIM:ROT:      15         1   -0.3801    1.1340    0.4762
DIM:ROT:      16         1   -0.4248    1.2804    0.4836
DIM:ROT:      17         1   -0.3634    1.7178    0.6578
DIM:ROT:      18         1   -0.2313    0.3512    0.1332
DIM:ROT:      19         1   -0.1976    0.5771    0.2257
DIM:ROT:      20         1   -0.2487    1.7354    0.5767
DIM:ROT:      21         1   -0.2246    2.0251    0.6017
DIM:ROT:      22         1   -0.1402    0.9821    0.1213
DIM:ROT:      23         1   -0.1972    1.6991    0.7609
DIM:ROT:      24         1   -0.1209    1.7481    0.6113
DIM:ROT:      25         1   -0.0596    1.6978    0.5605
DIM:ROT:      26         1   -0.1506    1.8933    0.6422
DIM:ROT:      27         1   -0.1235    2.5134    0.6125
DIM:ROT:      28         1   -0.1277    2.5395    0.5034
DIM:ROT:      29         1   -0.2680    2.4993    0.3193
DIM:ROT:      30         1   -0.3406    2.3743    1.0744
DIM:ROT:      31         1   -0.2019    4.5071    0.4495
DIM:ROT:      32         1   -0.2747   13.0614    0.4644
DIM:ROT:      33         1   -0.4918    4.4121    1.9296
DIM:ROT:      34         1   -0.4784    2.0862    0.6719
DIM:ROT:      35         1   -0.3470    1.8430    0.5331
DIM:ROT:      36         1   -0.4021    1.7139    0.5754
DIM:ROT:      37         1   -0.5486    1.0607    0.4102
DIM:ROT:      38         1   -0.3734    1.2711    0.5480
DIM:ROT:      39         1   -0.2716    1.2668    0.3371
DIM:ROT:      40         1   -0.3504    1.2385    0.4407
DIM:ROT:      41         1   -0.3405    0.8163    0.3196
DIM:ROT:      42         1   -0.2535    1.2339    0.5345
DIM:ROT:      43         1   -0.2370    0.6786    0.1818
DIM:ROT:      44         1   -0.2461    1.2801    0.5061
DIM:ROT:      45         1   -0.2803    1.7924    0.7732
DIM:ROT:      46         1   -0.1261    0.8095    0.2901
DIM:ROT:      47         1   -0.0293    1.2947    0.5129
DIM:ROT:      48         1   -0.1246    1.6630    0.7124
DIM:ROT:      49         1   -0.0742    2.2909    0.9369
DIM:ROT:      50         1   -0.0781    1.8126    0.2282
DIM:ROT:      51         1   -0.1035    0.4071    0.1247
